Connections,Date&Time,Trans,ElapTime,DataTrans,RespTime,TransRate,Throughput,Concurrent,OKAY,Failed
2014-09-1917:37:23,12218,166.14,7,6.02,73.54,0.04,442.85,12218,7
250,2014-09-2218:06:18,23502,299.98,15,2.68,78.35,0.05,210.05,23502,0
240,2014-09-2218:01:18,23557,299.98,15,2.54,78.53,0.05,199.61,23557,0
230,2014-09-2217:56:18,23573,299.98,15,2.41,78.58,0.05,189.07,23573,0
220,2014-09-2217:51:18,23686,299.98,15,2.28,78.96,0.05,179.67,23687,0
210,2014-09-2217:46:18,23690,299.98,15,2.15,78.97,0.05,169.58,23690,0
200,2014-09-2217:41:18,23775,299.98,15,2.01,79.26,0.05,159.41,23775,0
190,2014-09-2217:36:18,23802,299.98,15,1.88,79.35,0.05,149.56,23802,0
180,2014-09-2217:31:18,24045,299.88,15,1.73,80.18,0.05,138.77,24045,0
170,2014-09-2216:58:54,24039,299.07,15,1.61,80.38,0.05,129.57,24039,0
160,2014-09-2216:29:44,24452,299.63,15,1.46,81.61,0.05,118.99,24452,0
150,2014-09-1916:54:42,24058,299.49,15,1.37,80.33,0.05,109.66,24058,0
140,2014-09-1916:32:28,24452,299.36,15,1.21,81.68,0.05,99.02,24452,0
130,2014-09-1916:17:09,24502,299.59,15,1.08,81.79,0.05,88.69,24502,0
120,2014-09-1916:06:38,24316,299.96,15,0.97,81.06,0.05,78.95,24316,0
110,2014-09-1915:55:07,24261,299.49,15,0.86,81.01,0.05,69.51,24261,0
100,2014-09-1914:00:02,24332,299.45,15,0.73,81.26,0.05,59.23,24332,0
90,2014-09-1913:50:14,24373,299.88,15,0.61,81.28,0.05,49.35,24373,0
80,2014-09-1913:35:19,24326,299.86,15,0.49,81.12,0.05,39.35,24326,0
70,2014-09-1913:29:10,24228,299.84,15,0.36,80.80,0.05,28.89,24228,0
60,2014-09-1913:23:40,24080,299.76,15,0.24,80.33,0.05,19.61,24080,0
50,2014-09-1913:07:25,23295,299.92,14,0.13,77.67,0.05,10.44,23295,0
40,2014-09-1917:02:29,21170,299.31,13,0.06,70.73,0.04,4.51,21170,0
30,2014-09-1917:08:19,16810,299.91,10,0.04,56.05,0.03,2.14,16810,0
20,2014-09-1912:46:55,11370,299.78,7,0.03,37.93,0.02,0.97,11370,0
10,2014-09-1917:18:31,5784,299.08,3,0.02,19.34,0.01,0.36,5784,0
